id,crop,temperature,humidity,rainfall,ph,N,K,P
1,rice,20.87974371,82.00274423,202.9355362,6.502985292,90,43,42
2,rice,21.77046169,80.31964408,226.6555374,7.038096361,85,41,58
3,rice,23.00445915,82.3207629,263.9642476,7.840207144,60,44,55
4,rice,23.05804872,83.37011772,251.0549998,7.073453503,69,42,37
5,rice,22.70883798,82.63941394,271.3248604,5.70080568,69,38,55
6,rice,20.27774362,82.89408619,241.9741949,5.718627178,94,40,53
7,rice,23.22397386,83.03322691,221.2091958,6.336253525,68,38,58
8,rice,26.52723513,81.41753846,264.6148697,5.386167788,91,40,53
9,rice,23.97898217,81.45061596,250.0832336,7.50283396,90,42,46
10,rice,26.80079604,80.88684822,284.4364567,5.108681786,78,44,58
11,rice,24.01497622,82.05687182,185.2773389,6.98435366,93,36,56
12,rice,24.28209415,80.30025587,231.0863347,7.042299069,60,39,48
13,rice,23.79391957,80.41817957,206.2611855,6.970859754,91,39,35
14,rice,21.8652524,80.1923008,224.5550169,5.953933276,77,36,38
15,rice,21.32504158,80.47476396,185.4974732,6.442475375,89,36,45
16,rice,25.15745531,83.11713476,231.3843163,5.070175667,76,43,40
17,rice,21.94766735,80.97384195,213.3560921,6.012632591,67,41,59
18,rice,23.48381344,81.33265073,224.0581164,7.375482851,98,37,47
19,rice,25.0756354,80.52389148,257.0038865,7.778915154,66,41,53
20,rice,24.52922681,80.54498576,260.2634026,7.070959995,97,41,50
21,rice,20.77576147,84.49774397,240.0810647,6.244841491,60,44,49
22,rice,21.44653958,84.94375962,272.2017204,5.824709117,73,41,57
23,rice,24.52783742,82.73685569,224.6757231,6.364134968,85,39,37
24,rice,20.26707606,81.63895217,270.4417274,5.01450727,98,38,53
25,rice,25.7354293,83.88266234,233.1321372,6.149410611,88,44,54
26,rice,26.79533926,82.1480873,193.3473987,5.950660556,95,42,55
27,rice,26.75754171,81.17734011,272.2999056,5.960370061,99,35,57
28,rice,23.86330467,83.15250801,285.2493645,5.561398642,95,36,39
29,rice,24.17298839,83.7287574,257.0343554,5.583370042,63,41,44
30,rice,25.62980105,83.52842314,209.9001977,5.534878156,64,43,45
31,rice,25.59704938,80.14509262,200.834898,6.903985986,83,36,60
